productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15868253,10155,KENZO凱卓純淨之水冰靈男士淡香水限量版【有效期至：2027年1月31日】,200,665,3.0,3.0,200,2,2,3,距結束23天,500022955,504208435,3037,2351
p15740572,14721,JO MALONE祖·瑪瓏香水(青檸羅勒與柑橘香型)100ml【有效期至：2027年5月】,664,1315,5.0,5.0,664,12,24,23,距結束23天,500022955,504208546,3037,3204
p15894520,10169,L'OCCITANE歐舒丹青提戀櫻香氛套裝,237,565,4.2,4.2,237,3,3,6,距結束23天,500022955,504208548,3037,3153
p15867852,10155,KENZO凱卓純淨之水冰靈女士淡香水限量版【有效期至：2027年1月31日】,200,665,3.0,3.0,200,1,1,4,距結束23天,500022955,504208452,3037,2352
p15737151,14721,JO MALONE祖·瑪瓏柚子香水30毫升,320,640,5.0,5.0,320,1,6,18,距結束23天,500022955,504208722,3037,3204
p15743611,10120,Elizabeth Arden伊麗莎白雅頓白茶橙花淡香水,129,326,4.0,4.0,129,1,1,28,距結束23天,500022955,504208723,3037,2352
p15741697,30992,Kilian凱利安親密一刻濃香水 50ml,1134,2260,5.0,5.0,1134,2,2,,距結束23天,500022955,504208724,3037,2352
p15864117,12469,TOM FORD湯姆福特湯姆福特傾世芳華香水 50ML,1548,3185,4.9,4.9,1548,1,2,4,距結束23天,500022955,504208541,3037,2352
p15870910,12469,TOM FORD湯姆福特香水（誘感黑漆香型）,1596,3185,5.0,5.0,1596,1,1,1,距結束23天,500022955,504208726,3037,2352
p15738551,12290,GIORGIO ARMANI 阿瑪尼摯愛女士濃香水100ml,918,1645,5.6,5.6,918,1,1,3,距結束23天,500022955,504208727,3037,2352
p15810804,14721,JO MALONE祖瑪瓏香水馥鬱系列-烏木與佛手柑香型-50ML,587,1175,5.0,5.0,587,1,1,10,距結束23天,500022955,504208728,3037,3204
p15865183,14721,JO MALONE祖瑪瓏香水馥鬱系列 緋紅虞美人香型 100ML,842,1675,5.0,5.0,842,1,1,3,距結束23天,500022955,504208729,3037,3204
p15871372,14721,JO MALONE LONDON祖瑪瓏香水馥鬱系列（無垢木與雪松香型）,587,1175,5.0,5.0,587,1,2,8,距結束23天,500022955,504208730,3037,3204
p15859135,31004,ACQUA DI PARMA帕爾瑪之水藍色地中海淡香氛（西西里島杏仁香） 100ml,516,1345,3.8,3.8,516,1,1,1,距結束23天,500022955,504208734,3037,3204
p15782328,10131,GIVENCHY紀梵希紳士濃香水 60ml,314,696,4.5,4.5,314,1,1,4,距結束23天,500022955,504208736,3037,2351
p15865819,14721,JO MALONE祖瑪瓏香氛蠟燭 英國梨與小蒼蘭香型 2100G,1794,3670,4.9,4.9,1794,3,3,1,距結束23天,500022955,504208738,3037,1525
p15741668,30992,Kilian凱利安黑夜魅影濃香水 50ml,1137,2260,5.0,5.0,1137,1,1,2,距結束23天,500022955,504208740,3037,2352
p15802024,30992,By Kilian 凱利安金衣女人濃香水 50ml,1137,2260,5.0,5.0,1137,1,1,,距結束23天,500022955,504208741,3037,2352
p15741760,30992,Kilian凱利安天使之享香水 50ml,950,1880,5.1,5.1,950,1,1,,距結束23天,500022955,504208742,3037,2352
p15839476,14721,JO MALONE祖瑪瓏香氛蠟燭(青檸羅勒與柑橘香型)600g,760,1485,5.1,5.1,760,1,1,3,距結束23天,500022955,504208743,3037,2352
p15830832,12469,TOM FORD湯姆福特濃香水(絕慕盛華香型) 100ml,925,1835,5.0,5.0,925,1,1,1,距結束23天,500022955,504208744,3037,2352
p15866139,12290,GIORGIO ARMANI阿瑪尼淡香精75ML,461,780,5.9,5.9,461,2,2,6,距結束23天,500022955,504208745,3037,2351
