productId,brandId,productName,price,originalPrice,discount,priceDiscount,activityDiscount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15871387,10123,ESTEE LAUDER雅詩蘭黛特潤修護夜間煥能精華霜膜65ML,528,960,528,5.5,5.5,15,20,15,,500021865,504010248,3022,1096
p15737930,14599,HR赫蓮娜活顏修復舒緩面膜 50ML【有效期至：2027年1月】,1749,3195,1749,5.5,5.5,10,20,12,,500021865,504010285,3022,1097
p15741655,13157,L'OREAL 歐萊雅金致臻顏套裝 （日霜50ml+晚霜50ml+眼霜15ml）【有效期至：2027年1月】,377,675,377,5.6,5.6,6,12,27,,500021865,504010288,3022,1100
p15820476,31885,CLARINS嬌韻詩男士柔滑剃須泡沫 150ml【有效期至：2027年1月】,105,250,105,4.2,4.2,2,4,8,,500021865,504010306,3022,1101
p15741621,10134,GUCCI 古馳傾色柔紗潤唇膏,141,375,141,3.8,3.8,6,6,14,,500021865,504010307,3022,1098
p15828750,10123,ESTEE LAUDER雅詩蘭黛肌活卸妝潔顏膏,205,405,205,5.1,5.1,13,14,11,,500021865,504010314,3022,2243
p15833290,13157,L'OREAL歐萊雅複顏保濕護膚套裝【有效期至：2027年2月】,270,540,270,5.0,5.0,12,24,52,,500021865,504010351,3022,1100
p15839239,13157,L'OREAL歐萊雅複顏水光充盈柔膚水三支裝【有效期至：2027年2月】,174,310,174,5.6,5.6,9,18,12,,500021865,504010352,3022,1090
p15858260,30995,LANCASTER蘭嘉絲汀悅陽舒爽倍護嬌容防護乳液SPF50 200ml,116,385,116,3.0,3.0,1,1,5,,500021865,504010228,3022,1092
p15871564,14572,LA ROCHE-POSAY理膚泉淨膚潔面泡沫-LA ROCHE-POSAY理膚泉微晶煥膚收斂水-LA ROCHE-POSAY理膚泉清痘細緻淨膚精華乳,343,605,343,5.7,5.7,5,5,18,,500021865,504010252,3022,1100
p15740070,31877,Avene雅漾抗敏舒緩護膚套裝 50ml+50ml,100,280,100,3.6,3.6,1,1,3,,500021865,504010276,3022,1100
p15830834,31878,BIOTHERM碧歐泉男士活力防護隔離霜 30ml,345,610,345,5.7,5.7,2,2,,,500021865,504010298,3022,1092
p15875666,31474,薇諾娜 50g清透水感防曬乳,92,215,92,4.3,4.3,4,4,3,,500021865,504010309,3022,1092
p15830434,10123,ESTEE LAUDER Nutritious 升級亮肌抗氧輕盈保濕乳 100ml,328,645,328,5.1,5.1,8,8,3,,500021865,504010316,3022,1091
p15736184,31887,CLINIQUE倩碧男士青春修護乳  100ml*2,328,640,328,5.1,5.1,5,5,2,,500021865,504010321,3022,1091
p15881891,10174,MAC 魅可腮紅-RAIZIN,155,295,155,5.3,5.3,1,1,,,500021865,504010344,3022,1101
p15867666,10162,LANCOME蘭蔻極光乳液淨澈煥膚亮白乳液 75ml 勻淨透亮,453,810,453,5.6,5.6,6,6,44,,500021865,504010353,3022,1091
p15859453,10120,ELIZABETH ARDEN伊麗莎白雅頓時空煥活清透修護膠囊精華液 42ML,335,920,335,3.6,3.6,1,1,18,,500021865,504010359,3022,1096
