productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15740448,14721,JO MALONE祖·瑪瓏滿室幽香香薰(藍風鈴香型),463,770,,6.0,463,18,18,61,,500022202,504086390,3037,1525
p15877285,31163,RITUALS靜儀式小號藤條香薰70 ml,118,195,,6.1,118,13,13,200+,,500022202,504086404,3037,1525
p15889036,31163,RITUALS阿姆斯特丹系列香薰蠟燭,262,435,,6.0,262,10,10,26,,500022202,504086433,3037,1525
p15828382,10131,GIVENCHY紀梵希心無禁忌髮香噴霧35ml,207,345,,6.0,207,9,9,45,,500022202,504086435,3037,2352
p15889826,31163,RITUALS白色羅勒車載香氛-3g*2,157,260,,6.0,157,10,10,66,,500022202,504086368,3037,1525
p15830813,31845,YSL聖羅蘭自由至上香髮噴霧 30ml,292,485,,6.0,292,7,7,60,,500022202,504086373,3037,2352
p15737560,14721,JO MALONE祖·瑪瓏香氛蠟燭(牡丹與胭紅麂絨香型) 200g,334,555,,6.0,334,6,6,48,,500022202,504086378,3037,1525
p15828392,15063,THANN庭潤繽紛果園精油50ml,304,505,,6.0,304,8,8,10,,500022202,504086383,3037,1525
p15948959,31163,RITUALS阿姆斯特丹系列小號藤條香薰,118,195,,6.1,118,6,6,22,,500022202,504086388,3037,1525
p15793223,14721,JO MALONE祖瑪瓏香氛蠟燭(月光花香型)200g,334,555,,6.0,334,7,7,66,,500022202,504086393,3037,1525
p15949231,31163,RITUALS櫻花儀式藤條香薰,214,355,,6.0,214,6,6,,,500022202,504086492,3037,1525
p15948962,31163,RITUALS阿姆斯特丹系列藤條香薰,220,365,,6.0,220,4,4,14,,500022202,504086499,3037,1525
p15949223,31163,RITUALS麂絨香草藤條香薰,376,625,,6.0,376,6,6,1,,500022202,504086504,3037,1525
p15949229,31163,RITUALS皇家清茶藤條香薰,376,625,,6.0,376,6,6,1,,500022202,504086505,3037,1525
p15949235,31163,RITUALS白色羅勒藤條香薰,376,625,,6.0,376,6,6,2,,500022202,504086506,3037,1525
p15890287,31163,RITUALS皇家清茶藤條香薰,376,625,,6.0,376,4,4,38,,500022202,504086520,3037,1525
p15844006,31845,YSL聖羅蘭自由至上女士香水套裝,994,1655,,6.0,994,4,4,19,,500022202,504086549,3037,1145
p15825226,14721,JO MALONE London祖瑪瓏古龍水-絲絨玫瑰與烏木-100ML,1006,1675,,6.0,1006,4,4,6,,500022202,504086581,3037,2352
p15890284,31163,RITUALS皇家清茶香薰蠟燭,262,435,,6.0,262,2,2,18,,500022202,504086589,3037,1525
p15742726,14721,JO MALONE祖·瑪瓏杏桃花與蜂蜜香水 30ml  C030076,379,630,,6.0,379,3,3,20,,500022202,504086592,3037,3204
p15793222,14721,JO MALONE祖瑪瓏滿室幽香香薰(月光花香型)165ml,463,770,,6.0,463,3,3,29,,500022202,504086634,3037,1525
p15875894,14721,JO MALONE LONDON祖瑪瓏香水（英國梨與香豌豆香型）30ml,379,630,,6.0,379,2,2,9,,500022202,504086638,3037,2352
p15737524,14721,JO MALONE祖·瑪瓏香水（英國橡樹與榛果香型）30ml,379,630,,6.0,379,2,2,13,,500022202,504086640,3037,3204
p15737554,14721,JO MALONE祖·瑪瓏香水(忍冬與印蒿香型)100ML,790,1315,,6.0,790,2,2,9,,500022202,504086643,3037,3204
p15740019,14721,JO MALONE祖·瑪瓏香水(銀樺與薰衣草香型)100ml,790,1315,,6.0,790,3,3,4,,500022202,504086652,3037,2352
p15825537,14721,JO MALONE LONDON 祖瑪瓏古龍水-晚香玉與天使草古龍-50ML,700,1165,,6.0,700,3,3,3,,500022202,504086659,3037,3204
p15737242,14721,JO MALONE祖·瑪瓏香氛蠟燭(紅玫瑰香型),328,555,,5.9,328,2,2,13,,500022202,504086663,3037,1525
