productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15867850,10155,KENZO凱卓純淨之水女士淡香氛 100ml,239,795,3.0,3.0,239,2,2,4.0,距結束24天,500022565,504138717,3037,2352
p15880149,10169,L’occitane歐舒丹紫藤香氛套裝,230,565,4.1,4.1,230,1,1,3.0,距結束24天,500022565,504138817,3037,1145
p15738509,12290,GIORGIO ARMANI 阿瑪尼摯愛女士濃香水50ml,642,1155,5.6,5.6,642,4,4,6.0,距結束24天,500022565,504138822,3037,2352
p15865811,14721,JO MALONE祖瑪瓏香水馥鬱系列（紅色木槿香型） 100ML,801,1685,4.8,4.8,801,3,3,3.0,距結束24天,500022565,504138843,3037,2352
p15859801,14721,JO MALONE祖瑪瓏香水馥鬱系列（紅色木槿香型）,556,1165,4.8,4.8,556,2,2,8.0,距結束24天,500022565,504138844,3037,2352
p15809660,12469,TOM FORD 湯姆福特香水（暗櫻繚情香型）-50ML,1592,3185,5.0,5.0,1592,1,1,6.0,距結束24天,500022565,504138854,3037,3204
p15830846,12469,TOM FORD湯姆福特濃香水(啡縈珍瑰香型) 100ml,918,1835,5.0,5.0,918,2,3,2.0,距結束24天,500022565,504138855,3037,2352
p15843964,31845,YSL聖羅蘭自由至上女士香水+沐浴啫喱套裝,673,1210,5.6,5.6,673,3,3,8.0,距結束24天,500022565,504138865,3037,1145
p15737086,10134,GUCCI 古馳罪愛男士香水 50mL,324,920,3.5,3.5,324,3,3,,距結束24天,500022565,504138874,3037,2351
p15738025,10134,GUCCI  古馳罪愛 Intense 女士濃香水 90mL,554,1580,3.5,3.5,554,1,3,4.0,距結束24天,500022565,504138876,3037,2352
p15743611,10120,Elizabeth Arden伊麗莎白雅頓白茶橙花淡香水,129,326,4.0,4.0,129,3,3,26.0,距結束24天,500022565,504138878,3037,2352
p15796910,14721,JO MALONE祖瑪瓏滿室幽香香薰-橙花香型-165ML,390,770,5.1,5.1,390,3,3,33.0,距結束24天,500022565,504138902,3037,1525
p15737151,14721,JO MALONE祖·瑪瓏柚子香水30毫升,320,640,5.0,5.0,320,4,8,13.0,距結束24天,500022565,504138904,3037,3204
p15864117,12469,TOM FORD湯姆福特湯姆福特傾世芳華香水 50ML,1549,3185,4.9,4.9,1549,1,3,3.0,距結束24天,500022565,504138917,3037,2352
p15870910,12469,TOM FORD湯姆福特香水（誘感黑漆香型）,1596,3185,5.0,5.0,1596,1,1,1.0,距結束24天,500022565,504138918,3037,2352
p15741697,30992,Kilian凱利安親密一刻濃香水 50ml,1134,2260,5.0,5.0,1134,2,2,,距結束24天,500022565,504138921,3037,2352
p15738551,12290,GIORGIO ARMANI 阿瑪尼摯愛女士濃香水100ml,918,1645,5.6,5.6,918,1,1,3.0,距結束24天,500022565,504138925,3037,2352
p15880150,31845,YSL聖羅蘭 MON PARIS 濃香水 50ML,652,1165,5.6,5.6,652,2,6,6.0,距結束24天,500022565,504138930,3037,2352
p15740572,14721,JO MALONE祖·瑪瓏香水(青檸羅勒與柑橘香型)100ml【有效期至：2027年5月】,665,1315,5.1,5.1,665,9,18,21.0,距結束24天,500022565,504138971,3037,3204
p15871372,14721,JO MALONE LONDON祖瑪瓏香水馥鬱系列（無垢木與雪松香型）,587,1175,5.0,5.0,587,2,3,7.0,距結束24天,500022565,504138972,3037,3204
p15865183,14721,JO MALONE祖瑪瓏香水馥鬱系列 緋紅虞美人香型 100ML,842,1675,5.0,5.0,842,1,1,3.0,距結束24天,500022565,504138973,3037,3204
p15810804,14721,JO MALONE祖瑪瓏香水馥鬱系列-烏木與佛手柑香型-50ML,587,1175,5.0,5.0,587,2,2,9.0,距結束24天,500022565,504138974,3037,3204
