productId,brandId,productName,price,originalPrice,discount,priceDiscount,activityDiscount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15820476,31885,CLARINS嬌韻詩男士柔滑剃須泡沫 150ml【有效期至：2027年1月】,75,250,75,3.0,3.0,1,2,9,距結束31天,500022565,504138771,3022,1101
p15741621,10134,GUCCI 古馳傾色柔紗潤唇膏,117,375,117,3.1,3.1,6,6,16,距結束31天,500022565,504138772,3022,1098
p15833290,13157,L'OREAL歐萊雅複顏保濕護膚套裝【有效期至：2027年2月】,162,540,162,3.0,3.0,8,16,56,距結束31天,500022565,504138810,3022,1100
p15742893,31887,CLINIQUE倩碧面部及眼部卸粧霜125ml,156,310,156,5.0,5.0,10,13,36,距結束31天,500022565,504138830,3022,2243
p15782320,31887,CLINIQUE 倩碧身體防曬乳SPF50／PA++++ 150ml【有效期至：2027年3月】,154,305,154,5.0,5.0,3,6,11,距結束31天,500022565,504138831,3022,1092
p15810473,10160,LA MER海藍之謎柔潤奇蹟面霜,2444,1840,2444,13.3,13.3,8,14,200+,距結束31天,500022565,504138835,3022,1093
p15794720,13157,L'OREAL Paris歐萊雅多重防護隔離露 65ml【有效期至：2027年3月】,193,345,193,5.6,5.6,8,16,17,距結束31天,500022565,504138866,3022,1092
p15736751,14599,HR赫蓮娜鐳射亮度瓷白精華液 30ML【有效期至：2027年3月】,1683,3030,1683,5.6,5.6,2,4,13,距結束31天,500022565,504138867,3022,1096
p15869475,14599,HR/ 赫蓮娜至美琉光恒采密集煥顏精華液【有效期至：2027年3月】,2748,4950,2748,5.6,5.6,3,6,4,距結束31天,500022565,504138868,3022,1096
p15792877,10123,ESTEE LAUDER雅詩蘭黛智妍緊塑精華乳霜 75ml,552,1090,552,5.1,5.1,42,50,400+,距結束31天,500022565,504138884,3022,1093
p15881995,31887,Clinique美白祛斑精華露雙支裝 (100ml x 2)【有效期至：2027年4月】,1242,2475,1242,5.0,5.0,8,16,36,距結束31天,500022565,504138888,3022,1096
p15764549,31887,CLINIQUE倩碧水嫩保濕柔膚水 400ml,238,465,238,5.1,5.1,1,3,5,距結束31天,500022565,504138890,3022,1090
p15895900,20490,Kiehl’s科顏氏高保濕套組,549,980,549,5.6,5.6,2,4,7,距結束31天,500022565,504138893,3022,1100
p15737157,10085,BOBBI BROWN芭比波朗至盈呵護亮顏美肌乳(素顏霜)璨香檳30ml,310,740,310,4.2,4.2,4,9,5,距結束31天,500022565,504138896,3022,1091
p15781827,10197,ORIGINS 咖啡因活力煥亮面膜 75ml,169,330,169,5.1,5.1,2,6,9,距結束31天,500022565,504138899,3022,1097
p15801720,10197,ORIGINS悅木之源韋博士菇菌亮膚精華乳 50ml【有效期至：2027年4月】,335,660,335,5.1,5.1,4,8,11,距結束31天,500022565,504138901,3022,1091
p15857271,10162,LANCOME蘭蔻黑金臻寵面霜 50ML【有效期至：2027年4月】,2481,4460,2481,5.6,5.6,8,16,12,距結束31天,500022565,504138927,3022,1093
p15880349,31878,BIOTHERM 碧歐泉護膚精華面膜 6片【有效期至：2027年4月】,327,580,327,5.6,5.6,6,12,7,距結束31天,500022565,504138928,3022,1097
