productId,brandId,productName,price,originalPrice,vipPrice,priceDiscount,activityStock,discountInfo,promotionInfo
p15739461,10224,TIFFANY蒂芙尼玫瑰金濃香水,534,1335,0.0,4.0,1,HK$534起 活動價,
p15737102,12469,TOM FORD 激情幻魅唇膏 【黑管啞光質地】3GM/.1OZ 07 RUBY RUSH【有效期至：2026年12月31日】,490,490,,10.0,0,優惠價6.8折起,滿2500元享6.8折
p15866241,12469,TOM FORD湯姆福特柔霧緞采唇膏3.3g,490,490,,10.0,0,,
p15742974,14572,LA ROCHE POSAY理膚泉B5多效修復霜 100ML,144,240,0.0,6.0,2,HK$144 活動價,
p15810473,10160,LA MER海藍之謎柔潤奇蹟面霜,1840,1840,0.0,10.0,2,HK$1840起 搶購價,
p15828751,10169,L'OCCITANE歐舒丹瑰香之心沐浴啫喱500ml,290,290,,10.0,0,優惠價6.8折起,滿2500元享6.8折
p15743113,10160,LA MER海藍之謎精華面霜 60ml 補水保濕 深澈滋潤 柔嫩潤澤,1998,3325,0.0,6.0,2,HK$1998 活動價,
p15890283,31851,"Chloe""蔻依戀旅重返埃及女士香氛75ml",1374,1374,,10.0,0,,
p15859801,14721,JO MALONE祖瑪瓏香水馥鬱系列（紅色木槿香型）,1165,1165,,10.0,0,,
p15809660,12469,TOM FORD 湯姆福特香水（暗櫻繚情香型）-50ML,3185,3185,,10.0,0,優惠價6.8折起,滿2500元享6.8折
p15894456,10169,L'OCCITANE歐舒丹甜扁桃味身體套裝200ml+500ml,440,800,0.0,5.5,2,HK$440 活動價,
p15743274,31847,BURBERRY 博柏利我的博柏利花之緋女士濃香水 50mL/90ml,924,924,,10.0,1,,
p15737289,14721,JO MALONE祖·瑪瓏香氛蠟燭(黑石榴香型),301,555,0.0,5.4,1,HK$301 活動價,
p15864627,10131,GIVENCHY紀梵希傾城花舞香水,1110,1110,,10.0,1,優惠價6.8折起,滿2500元享6.8折
p15871387,10123,ESTEE LAUDER雅詩蘭黛特潤修護夜間煥能精華霜膜65ML,557,960,0.0,5.8,2,HK$557 活動價,
p15849357,13105,fresh馥蕾詩玫瑰潤澤保濕舒緩面膜雙支裝100ml*2,627,1045,0.0,6.0,2,HK$627 搶購價,
p15890293,31851,Chloe蔻依仙境花園系列HOME-LINE-蔻依北國雪松香氛沐浴露300 ML,430,430,,10.0,0,,
p15858503,31851,CHLOE蔻依女士單肩背包CHC22SS153G3127S,4890,16300,0.0,3.0,1,HK$4890 活動價,
p15857995,31851,CHLOE蔻依女士單肩背包CHC22AS571H9526X,5850,19500,0.0,3.0,1,HK$5850 活動價,
p15811504,30869,Inniskillin 雲嶺酒莊 品麗珠冰紅葡萄酒 375毫升 | Inniskillin Cabernet Franc 375ml,717,1025,0.0,7.0,1,優惠價8折起,滿6件享8折
p15870780,31130,FERRAGAMO菲拉格慕女士戒指758550,1500,5000,0.0,3.0,1,HK$1500 活動價,
p15870782,31130,FERRAGAMO菲拉格慕男士圍巾740752,1185,3950,0.0,3.0,1,HK$1185 活動價,
p15875740,31130,FERRAGAMO菲拉格慕女士皮帶674556-100-C,1086,3620,0.0,3.0,1,HK$1086 活動價,
p15794735,10162,LANCOME蘭蔻塑顏三重精華 50ml【有效期至：2027年6月】,722,1285,0.0,5.6,2,HK$722 活動價,
