productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p15736447,10160,LA MER海藍之謎濃縮密集修護眼霜  15ml 淡褪黑眼圈,2075,,,,,0,84,200+,,,,3039,2813
p15826000,13105,fresh馥蕾詩澄糖滋養修護潤唇膏-4.3G,240,,,,,0,91,400+,,,,3022,1098
p15792876,10123,ESTEE LAUDER雅詩蘭黛智妍緊塑精華乳霜+精華眼霜套裝,1565,,,,,0,33,85,,,,3039,2814
p15845300,10085,BOBBI BROWN芭比波朗清透舒盈潔膚油,520,,,,,0,30,100+,,,,3022,2243
p16072094,13651,DECORTE黛珂 多重亮護素顏乳 01 30ML,265,,,,,0,40,37,,,,3021,2222
p15740448,14721,JO MALONE祖·瑪瓏滿室幽香香薰(藍風鈴香型),770,,,,,0,16,63,,,,3037,1525
p15811358,10213,SHISEIDO資生堂豔陽防曬霜 SPF50+ 30ml,400,,,,,0,24,100+,,,,3022,1092
p15866140,15632,LANEIGE蘭芝膠原彈滑睡眠面膜-60ML,280,,,,,0,22,100+,,,,3022,1097
p15741370,10160,LA MER海藍之謎手部修護霜 100ml 滋潤修護 柔嫩細滑,925,,,,,0,15,61,,,,3028,2264
p15849349,31003,KERASTASE卡詩賦源芯絲沁透洗髮水 250ml,270,,,,,0,21,58,,,,3034,1103
p15877285,31163,RITUALS靜儀式小號藤條香薰70 ml,195,,,,,0,8,200+,,,,3037,1525
p15797357,31845,YSL 聖羅蘭明彩粉光輕墊粉底液 B20 12g,670,,,,,0,15,100+,,,,3021,2201
p15873763,13105,FRESH馥蕾詩大馬士革玫瑰花瓣水雙支裝,755,,,,,0,11,66,,,,3022,1100
p15735833,10123,ESTEE LAUDER  雅詩蘭黛 Re-Nutriv 白金級緊膚滋潤精華水 250ml,655,,,,,0,10,67,,,,3022,1090
p16038771,100514,Bonpoint朋博灣全新摯愛小櫻桃身體乳霜,659,,,,,0,14,4,,,,3028,2269
p15849356,13105,fresh馥蕾詩鈴蘭茉莉香沐浴露-300ML,270,,,,,0,5,48,,,,3028,2268
p15742923,20490,Kiehl's 科顏氏金盞花精華水活霜 100ml,670,,,,,0,8,70,,,,3022,1093
p15874422,30985,NARS納斯腮紅 4.8g,330,,,,,0,36,200+,,,,3021,2213
p15889036,31163,RITUALS阿姆斯特丹系列香薰蠟燭,435,,,,,0,10,26,,,,3037,1525
p15764371,10123,Estee Lauder 雅詩蘭黛經典版微精華露雙支裝,1685,,,,,0,10,57,,,,3022,1100
p15828382,10131,GIVENCHY紀梵希心無禁忌髮香噴霧35ml,345,,,,,0,8,46,,,,3037,2352
p15914171,31046,AHAVA死海賦顏黃金面膜 50ml,528,,,,,0,8,2,,,,3022,1097
p15892660,31845,YSL聖羅蘭先鋒高定腮紅06 6g,480,,,,,0,7,23,,,,3021,2213
p15737041,10213,SHISEIDO資生堂肌活淨顏潔面膏/洗面奶 125ml-外包裝輕微折損介意慎拍,350,,,,,0,29,100+,,,,3022,1088
p15830816,10197,ORIGINS悅木之源水潤暢飲夜間面膜 75ml,245,,,,,0,13,100+,,,,3022,1097
p15877399,13157,L'OREAL歐萊雅複顏晚霜 50ml,210,,,,,0,11,18,,,,3022,1093
p15769871,20490,Kiehl’s科顏氏紫玻A眼霜 28mL,730,,,,,0,8,45,,,,3039,2813
p15913045,10120,Elizabeth Arden伊莉莎白雅頓時空煥活淡紋緊致套裝,920,,,,,0,8,2,,,,3022,1100
p15737359,10213,SHISEIDO資生堂盼麗風姿智感撫痕霜（滋潤型） 50ml,690,,,,,0,27,88,,,,3022,1093
p15874767,13863,SULWHASOO雪花秀禦時參養水150ml,730,,,,,0,42,67,,,,3022,1090
p15832457,10213,SHISEIDO資生堂紅色蜜露精華化妝液兩只裝,1400,,,,,0,26,100+,,,,3022,1096
p15849743,13105,fresh馥蕾詩玫瑰潤澤密集保濕霜雙支裝,785,,,,,0,24,100+,,,,3022,1093
p15743116,20490,Kiehl's 科顏氏高保濕精華爽膚水 250ml,275,,,,,0,16,100+,,,,3022,1090
p15737748,10213,SHISEIDO資生堂盼麗風姿智感撫痕乳霜 50ML,690,,,,,0,17,80,,,,3022,1093
p15875172,13863,SULWHASOO雪花秀禦時緊顏參養面霜50ml,1680,,,,,0,15,77,,,,3022,1093
p15823792,13863,Sulwhasoo雪花秀順行柔和潔顏泡沫兩件套裝200ml*2,504,,,,,0,22,100+,,,,3022,1088
p15849733,13105,fresh馥蕾詩大豆精萃卸妝潔顏雙支裝,620,,,,,0,14,90,,,,3022,1088
p15884159,10213,Shiseido資生堂-悅薇智感緊顏亮膚乳-滋潤型100ML,790,,,,,0,14,47,,,,3022,1091
p15946060,13651,黛珂草本植萃精華水 兩支裝,954,,,,,0,13,11,,,,3022,1096
p15823084,13863,Sulwhasoo雪花秀與潤夜間煥活面膜-120ML（版）,410,,,,,0,13,48,,,,3022,1097
p15846926,10123,Estee Lauder雅詩蘭黛鮮活亮采二合一面霜 雙支裝 50ML*2,1160,,,,,0,12,30,,,,3022,1093
p16072095,13651,DECORTE黛珂多重防曬（舒緩）,360,,,,,0,14,7,,,,3022,1092
p16071735,13651,DECORTE黛珂亮顏防曬,275,,,,,0,13,7,,,,3022,1092
p15917624,20490,Kiehl’s科顏氏高保濕霜雙支 (正裝+補充裝）,1125,,,,,0,12,5,,,,3022,1093
p15836054,10213,SHISEIDO資生堂鮮潤賦活日霜 50ml,520,,,,,0,10,100+,,,,3022,1093
p15823785,13863,Sulwhasoo雪花秀與潤夜間煥活面膜兩只裝120mL*2（版）,756,,,,,0,12,45,,,,3022,1097
p15740918,13105,fresh馥蕾詩大馬士革玫瑰花瓣水,240,,,,,0,15,27,,,,3022,1100
p15946066,10213,Shiseido資生堂悅薇智感緊顏抗皺三件組,2105,,,,,0,12,2,,,,3022,1100
p15795049,13105,fresh馥蕾詩 大馬士革玫瑰密集保濕面霜 100ml,695,,,,,0,12,100+,,,,3022,1093
p15742803,21523,SEKKISEI雪肌精輕綿美容乳液140ml,270,,,,,0,9,35,,,,3022,1091
p15894229,13863,Sulwhasoo雪花秀滋盈琉光緊致霜-75ML-25AD,800,,,,,0,10,21,,,,3022,1093
p15875983,13651,DECORTE 黛珂AQ珍萃精顏臻悅洗顏露兩支裝,1275,,,,,0,8,56,,,,3022,1088
p15881355,10213,"SHISEIDO資生堂 悅薇智感
緊顏亮膚水(滋潤型)",720,,,,,0,10,47,,,,3022,1090
p15795051,13157,L'OREAL Paris歐萊雅複顏玻尿酸眼霜 65ml,615,,,,,0,9,27,,,,3039,2813
p15866143,13651,DECORTE黛珂肌源修護精華液 100ML,1279,,,,,0,16,100+,,,,3022,1096
p15914175,31046,AHAVA精緻水潤保濕面膜 100ml,278,,,,,0,9,2,,,,3022,1097
p15843596,13105,fresh馥蕾詩蓮花青春晚霜 50ml,580,,,,,0,9,48,,,,3022,1093
p15823782,13863,Sulwhasoo雪花秀玉璨淨顏面膜兩只裝120mL*2（版）,576,,,,,0,7,44,,,,3022,1097
p15764880,15632,LANEIGE蘭芝水酷透明質酸嘭潤潔顏膏 150g,200,,,,,0,9,20,,,,3022,1088
p15742055,21523,SEKKISEI雪肌精瀅潤眼霜20g,350,,,,,0,9,3,,,,3039,2813
p16072093,13651,DECORTE黛珂牛油果植萃乳液(300毫升2支裝),954,,,,,0,10,,,,,3022,1091
p15821475,20490,Kiehl's科顏氏牛油果眼霜 28ml,590,,,,,0,9,4,,,,3039,2813
p15739065,13105,fresh馥蕾詩玫瑰潤澤密集保濕雙萃精華 100mL,620,,,,,0,8,83,,,,3022,1096
p15865798,10213,SHISEIDO資生堂安熱沙倍護防曬乳親膚型 90ML,280,,,,,0,7,100+,,,,3022,1092
p15741489,21523,SEKKISEI雪肌精優醇菁華霜 50ml,435,,,,,0,7,23,,,,3022,1093
p15742297,21523,SEKKISEI雪肌精經典組合套裝124ml+360ml+140ml+79ml,1023,,,,,0,9,17,,,,3022,1100
p15893781,13863,Sulwhasoo雪花秀滋盈琉光緊致霜2件套裝,1435,,,,,0,9,6,,,,3022,1093
p15946061,13651,DECORTE黛珂-草本植萃精華水-300ML,530,,,,,0,8,13,,,,3022,1096
p15819754,31887,CLINIQUE倩碧眼部唇部卸妝水 125ml,220,,,,,0,6,31,,,,3022,2243
p15885458,10123,Estée Lauder雅詩蘭黛白金級蘊能黑鑽光璨眼霜15ml,1275,,,,,0,7,76,,,,3039,2813
p15736637,13651,COSME DECORTE黛珂植物欣韻沁瑩化妝水  200ml,340,,,,,0,8,31,,,,3022,1090
p15830769,10123,ESTEE LAUDER雅詩蘭黛鮮活亮采精華露 200ML,455,,,,,0,9,17,,,,3022,1096
p15946990,10160,La Mer海藍之謎經典保濕套裝,9110,,,,,0,8,13,,,,3022,1100
p15825996,12290,GIORGIO ARMANI 阿瑪尼黑鑰匙緊致眼霜-20ML,1590,,,,,0,8,42,,,,3039,2813
p15740314,10123,ESTEE LAUDER  雅詩蘭黛 Advanced Night Repair 特潤修護肌活精華露 50ml,930,,,,,0,7,58,,,,3022,1096
p15851487,10160,LA MER海藍之謎精華輕盈面霜​30ml,1805,,,,,0,7,45,,,,3022,1096
p15742744,21523,SEKKISEI雪肌精逸透潔膚啫喱142ml /卸妝,150,,,,,0,8,27,,,,3022,1088
p15743194,10123,ESTEE LAUDER雅詩蘭黛柔和眼部卸妝液100ml,370,,,,,0,7,3,,,,3022,2243
p15884176,10162,Lancome蘭蔻全新菁純臻顏乳霜-輕盈型-60ML,2890,,,,,0,8,28,,,,3022,1093
p15884990,10123,Estée Lauder雅詩蘭黛智妍柔潤精華水200ml,635,,,,,0,8,7,,,,3022,1090
p15849357,13105,fresh馥蕾詩玫瑰潤澤保濕舒緩面膜雙支裝,1045,,,,,0,6,72,,,,3022,1097
p15912565,10120,Elizabeth Arden伊莉莎白雅頓時空煥活水潤充盈膠囊精華液,980,,,,,0,6,6,,,,3022,1096
p15832452,10213,SHISEIDO資生堂紅色蜜露精萃液-145ML,780,,,,,0,7,19,,,,3022,1096
p15739446,13558,shu uemura植村秀綠茶肌潔顏油兩件套裝,1540,,,,,0,6,46,,,,3022,2243
p15829473,13651,COSME DECORTE黛珂AQ舒活凝光化妝水,690,,,,,0,11,39,,,,3022,1091
p15764080,10123,ESTEE LAUDER雅詩蘭黛Re-Nutriv 極緻黑鑽塑顏鑽光精華 30ml,2125,,,,,0,7,62,,,,3022,1096
p15836053,10213,SHISEIDO資生堂男士活力均衡水 150ml,240,,,,,0,6,35,,,,3022,1090
p15884803,10162,LANCOME蘭蔻全新菁純臻顏乳霜-輕盈型100ML,3854,,,,,0,12,37,,,,3022,1093
p15849358,13105,fresh馥蕾詩玫瑰潤澤密集保濕套裝,1255,,,,,0,6,22,,,,3022,1100
p15826126,10162,LANCOME蘭蔻塑顏三重密集煥顏面霜50ML,770,,,,,0,6,100+,,,,3022,1093
p15874520,10213,SHISEIDO資生堂盼麗風姿智感撫紋眼霜 15ML*2,990,,,,,0,5,39,,,,3039,2814
p15742409,20490,Kiehl's 科顏氏男士爽膚水 250ml,285,,,,,0,6,62,,,,3022,1090
p16070208,20490,Kiehl’s科顏氏水感防曬,575,,,,,0,6,,,,,3022,1092
p15737464,31887,CLINIQUE倩碧淨透泡沫潔面乳/洗面奶 150ml,215,,,,,0,6,13,,,,3022,1088
p15843159,13105,fresh馥蕾詩蓮花青春煥采眼霜 15ml,430,,,,,0,6,22,,,,3039,2813
p15789335,15632,LANEIGE蘭芝水酷透明質酸嘭潤修護潤膚乳(特潤),260,,,,,0,5,18,,,,3022,1091
p15741770,14599,HR赫蓮娜綠寶瓶強韌修護精萃液 400ml,2030,,,,,0,5,34,,,,3022,1090
p15825992,14599,HR赫蓮娜綠寶瓶強韌修護精華露-100ML 版,3060,,,,,0,5,23,,,,3022,1096
p15781827,10197,ORIGINS 咖啡因活力煥亮面膜 75ml,330,,,,,0,6,9,,,,3022,1097
p15872476,10213,SHISEIDO資生堂 時光琉璃禦藏豐盈奢養三部曲,3670,,,,,0,5,14,,,,3022,1100
p15857267,31878,BIOTHERM碧歐泉男士洗面奶 125ml,460,,,,,0,5,31,,,,3022,1088
p15740394,13157,L'OREAL 歐萊雅複顏清漾柔膚乳200ml,105,,,,,0,5,19,,,,3022,1091
p15913739,31046,AHAVA潔淨多效潔面乳 250ml,242,,,,,0,5,1,,,,3022,1091
p15945744,21523,SEKKISEI雪肌精逸透臻顏煥活眼霜-15G,350,,,,,0,4,2,,,,3039,2813
p15884994,10123,Estée Lauder雅詩蘭黛智妍緊塑煥白淡斑精華霜75ml,1150,,,,,0,5,23,,,,3022,1093
p15843595,13105,fresh馥蕾詩清護唇膏（澄糖元氣薄荷色） 4.3g,220,,,,,0,4,52,,,,3022,1098
p15827501,14599,HR赫蓮娜悅活生修護精華露兩只裝 (2*100ml) 版,5635,,,,,0,4,24,,,,3022,1096
p16039230,100514,Bonpoint朋博灣摯愛滋潤舒緩面霜50ml,624,,,,,0,4,2,,,,3022,1093
p15737786,13651,COSME DECORTE黛珂肌源修護精華液 50ml,780,,,,,0,3,21,,,,3022,1096
p15736283,13651,COSME DECORTE黛珂AQ 舒活 親膚調理美容油 40ml,690,,,,,0,4,24,,,,3022,1096
p15850245,10123,ESTEE LAUDER雅詩蘭黛鮮活亮采二合一泡沫潔面乳 125ML,330,,,,,0,5,21,,,,3022,1088
p15741779,31877,Avene雅漾長效鎖水保濕霜 40ML,225,,,,,0,5,36,,,,3022,1093
p15737942,31887,CLINIQUE倩碧水洗卸妝泡沫霜 150ml,205,,,,,0,3,17,,,,3022,2243
p15870451,13863,SULWHASOO雪花秀菁典臻秀精萃乳125ml,1030,,,,,0,8,25,,,,3022,1091
p15872022,10085,BOBBI BROWN芭比波朗至盈呵護唇部精華-6ML,350,,,,,0,3,15,,,,3022,1096
p15829874,13651,COSME DECORTE黛珂AQ舒活凝光乳液,690,,,,,0,19,59,,,,3022,1091
p15914169,31046,AHAVA礦物海泥光透保濕面膜 50ml,278,,,,,0,4,3,,,,3022,1097
p15742967,14572,LA ROCHE POSAY理膚泉清痘淨膚細緻精華乳 K+40ml,265,,,,,0,5,24,,,,3022,1091
p15877392,13157,L'OREAL歐萊雅複顏滋潤眼霜套裝,515,,,,,0,4,7,,,,3039,2813
p15883655,31877,Avene雅漾舒潤調理柔膚水-200ML（新）,215,,,,,0,4,17,,,,3022,1090
p15738721,21523,SEKKISEI雪肌精優醇菁華水 200ml,450,,,,,0,5,11,,,,3022,1090
p15885168,10197,ORIGINS悅木之源-活力水潤光澤面霜50ml,320,,,,,0,4,4,,,,3022,1093
p15742088,31887,CLINIQUE倩碧鐳射活膚緊緻精華 50ml,800,,,,,0,5,9,,,,3022,1096
p15742815,21523,SEKKISEI雪肌精化妝水（瑩潤型） 360ml,435,,,,,0,5,7,,,,3022,1090
p15739262,13651,COSME DECORTE黛珂AQ珍萃精顏臻悅潔膚霜 160ML,710,,,,,0,3,19,,,,3022,1088
p15742128,31878,BIOTHERM  碧歐泉男士滋養緊膚露 200ml,710,,,,,0,4,21,,,,3022,1090
p15736190,31887,CLINIQUE倩碧卓研淨痘膠  30ml,280,,,,,0,4,18,,,,3022,1096
p15736188,31887,CLINIQUE倩碧升級特效潤膚露+125ml,280,,,,,0,4,8,,,,3022,1091
p15735908,10120,Elizabeth Arden伊麗莎白雅頓經典型潤澤霜無香精型 50g,173,,,,,0,4,40,,,,3022,1093
p15865193,10123,ESTEE LAUDER雅詩蘭黛白金級卸妝潔面乳 125ML,730,,,,,0,4,30,,,,3022,1088
p15769839,31878,BIOTHERM碧歐泉男士緊致潤膚乳 100ml,1295,,,,,0,3,18,,,,3022,1091
p15874759,15632,LANEIGE蘭芝新水酷透明質酸嘭潤修護啫喱面霜（清潤）兩件裝,603,,,,,0,2,13,,,,3022,1100
p15824010,21523,SEKKISEI雪肌精淨爽洗顏皂120g,79,,,,,0,4,15,,,,3022,1088
p15742642,31878,BIOTHERM 碧歐泉男士水動力潔面膏 125ml,285,,,,,0,4,25,,,,3022,1088
p15743728,31878,BIOTHERM 碧歐泉活泉潤透水分凝露 50ml,630,,,,,0,4,28,,,,3022,1093
p15770457,10120,Elizabeth Arden伊麗莎白雅頓金致膠囊精華液28ml,755,,,,,0,3,20,,,,3022,1096
p15873343,10162,LANCOME蘭蔻全新黑金臻寵面霜 50ml 替換芯,3650,,,,,0,3,8,,,,3022,1093
p15736559,31887,CLINIQUE倩碧男士液體潔面皂   /洗面奶200ml,215,,,,,0,4,14,,,,3022,1088
p15736228,13651,COSME DECORTE黛珂AQ舒活植物菁萃油 40ml,1020,,,,,0,3,8,,,,3022,1096
p15743582,10120,Elizabeth Arden伊麗莎白雅頓複合面霜 100ml,228,,,,,0,4,44,,,,3022,1093
p15739541,31887,CLINIQUE倩碧男士保濕精華露 48ML,385,,,,,0,4,8,,,,3022,1096
p15872169,10120,ELIZABETH ARDEN伊麗莎白·雅頓時空煥活淡紋緊致膠囊精華液42ML,980,,,,,0,2,23,,,,3022,1096
p15872167,10120,ELIZABETH ARDEN伊麗莎白·雅頓時空煥活淡紋緊致膠囊精華液 28ml,780,,,,,0,3,15,,,,3022,1096
p15846936,10123,Estee Lauder雅詩蘭黛鮮活亮采套裝,1285,,,,,0,3,4,,,,3022,1100
p15736631,13651,COSME DECORTE黛珂植物欣韻彈潤乳液（滋潤型）200ml,340,,,,,0,3,14,,,,3022,1091
p15830836,10197,ORIGINS悅木之源一舉兩得卸妝養膚潔顏油 150ml,255,,,,,0,3,12,,,,3022,2243
p15830821,10197,ORIGINS悅木之源竹炭淨化豐盈面膜,310,,,,,0,3,15,,,,3022,1097
p15942673,13157,L`oreal巴黎歐萊雅青春密碼密集肌能精華肌底液,595,,,,,0,3,,,,,3022,1096
p16067717,15632,Laneige蘭芝水潤修護睡眠面膜兩件套裝,432,,,,,0,3,,,,,3022,1100
p15897817,10213,Shiseido資生堂盼麗風姿智感撫紋精華液 30ml,700,,,,,0,3,6,,,,3022,1096
p15912569,13157,L`oreal歐萊雅光感煥亮體驗套裝,335,,,,,0,3,3,,,,3022,1100
p15831828,13863,Sulwhasoo雪花秀玉璨淨顏面膜 120ml,320,,,,,0,2,15,,,,3022,1097
p15892315,13651,DECORTE 黛珂-AQ-舒活耀白化妝水200ml,690,,,,,0,3,8,,,,3022,1090
p15947505,10160,La Mer海藍之謎豐潤唇膏04 COCOA,580,,,,,0,3,,,,,3022,1098
p15866275,10085,BOBBI BROWN芭比波朗潔面洗顏乳 125ML,350,,,,,0,3,18,,,,3022,1088
p15893780,13863,Sulwhasoo雪花秀滋盈琉光潤顏乳-125ML-25AD,460,,,,,0,8,6,,,,3022,1091
p15809678,10197,ORIGINS悅木之源視黃醇抗皺眼霜15毫升,425,,,,,0,2,22,,,,3039,2813
p15739632,31887,CLINIQUE 倩碧男士青春眼霜 15ml,380,,,,,0,3,5,,,,3039,2813
p15736010,10120,Elizabeth Arden伊麗莎白雅頓金致純淨爽膚水200ml,228,,,,,0,3,9,,,,3022,1090
p15736028,10120,Elizabeth Arden伊麗莎白雅頓時空植萃潔顏油 195ml,298,,,,,0,3,8,,,,3022,2243
p15839863,10123,ESTEE LAUDER雅詩蘭黛肌活潔顏啫喱,330,,,,,0,3,23,,,,3022,1088
p15735306,31878,BIOTHERM  碧歐泉男士淨膚細緻潔面膏 125ml,305,,,,,0,2,11,,,,3022,1088
p15743558,21523,SEKKISEI雪肌精化妝水輕綿美容乳液套裝a（200ml+140ml）,517,,,,,0,2,9,,,,3022,1100
p15742887,10120,Elizabeth Arden伊麗莎白雅頓經典潤澤密集修護唇霜 10g,194,,,,,0,2,13,,,,3022,1098
p15875975,31878,Biotherm 碧歐泉男士水動力套組,1085,,,,,0,3,14,,,,3022,1100
p15942674,13558,SHU UEMURA植村秀舒顏煥亮潔顏油 450ML,835,,,,,0,4,5,,,,3022,1088
p15942493,13558,SHU UEMURA植村秀舒顏煥亮潔顏油 150ML,360,,,,,0,2,2,,,,3022,1088
p15738666,10174,MAC魅可定制護唇膏/口紅 15ml,175,,,,,0,3,15,,,,3022,1098
p15841282,10120,Elizabeth Arden伊麗莎白雅頓八小時經典潤澤霜+護唇膏套裝,160,,,,,0,3,8,,,,3022,1100
p15848010,10162,LANCOME蘭蔻菁純柔霧啞光唇釉 6ML,360,,,,,0,9,75,,,,3016,2197
p15895892,12290,Giorgio Armani阿瑪尼紅管唇釉-504,380,,,,,0,3,2,,,,3016,2197
p15865721,10162,LANCOME蘭蔻空氣輕墊菁純粉底液 13g(110 IVOIRE-PO),750,,,,,0,6,4,,,,3021,2201
p15870916,10085,BOBBI BROWN芭比波朗栗棕裸色眼影盤,490,,,,,0,2,18,,,,3038,2217
p15900711,31845,YSL聖羅蘭恒久無瑕透光粉底液-LN4,650,,,,,0,3,,,,,3021,2201
p15945750,100328,JUDYDOLL橘朵雙頭撕拉唇線豐潤唇油 01 2.4g+2g,89,,,,,0,5,1,,,,3016,2197
p15949227,10131,GIVENCHY紀梵希明星四宮格柔霧散粉1號色兩件套裝,1020,,,,,0,18,1,,,,3021,2214
p15809337,31887,CLINIQUE倩碧炫彩唇膏06 1.9g,170,,,,,0,7,9,,,,3016,2195
p15877864,31845,YSL聖羅蘭新明彩柔霧輕墊粉底液 #20(替換芯*2),785,,,,,0,12,75,,,,3021,2201
p15878324,31845,YSL聖羅蘭新明彩柔霧輕墊粉底液 #30(替換芯),425,,,,,0,9,27,,,,3021,2201
p15825598,10174,MAC魅可眼影盤6.25g,310,,,,,0,6,32,,,,3038,2217
p15946064,100328,JUDYDOLL橘朵雙頭撕拉唇線豐潤唇油 03 2.4g+2g,89,,,,,0,6,,,,,3016,2197
p15895884,31845,YSL聖羅蘭先鋒高定腮紅42,480,,,,,0,4,18,,,,3021,2213
p15742530,10174,MAC魅可時尚焦點小眼影 27,110,,,,,0,5,28,,,,3038,2217
p15736949,12469,TOM FORD 幻魅奢黑眼線筆1.36ML/.4OZ  DEEPER,460,,,,,0,3,33,,,,3038,2203
p15740023,31887,CLINIQUE倩碧小雛菊腮紅02 3.5g,160,,,,,0,5,16,,,,3021,2213
p15913040,13558,SHU UEMURA植村秀專業睫毛夾,245,,,,,0,4,11,,,,3012,2280
p15824436,10123,ESTEE LAUDER雅詩蘭黛沁水養膚粉底液兩支裝,935,,,,,0,12,64,,,,3021,2201
p15885150,12469,TOM FORD幻魅亮澤唇膏100 大秀裸棕,370,,,,,0,4,15,,,,3016,2195
p15865180,10174,MAC魅可經典啞光唇膏 3.5G,190,,,,,0,10,43,,,,3016,2195
p15896331,12290,Giorgio Armani阿瑪尼紅管唇釉-321,380,,,,,0,4,10,,,,3016,2197
p15737155,12469,TOM FORD湯姆福特幻魅塑型眉筆,555,,,,,0,4,26,,,,3038,2207
p15868120,31845,YSL聖羅蘭敢愛自由眼線筆,285,,,,,0,4,28,,,,3038,3623
p15841686,10131,GIVENCHY紀梵希高定甜潤唇膏N37 2.8g,330,,,,,0,4,9,,,,3016,2195
p15739560,10123,ESTEE LAUDER  雅詩蘭黛 Double Wear 凝彩纖長睫毛膏 6ml 黑色,350,,,,,0,4,17,,,,3038,2203
