productId,sku,brandName,brandEnName,productName,price,originalPrice,discount,reducePrice,futurePrice,activityStock,stock,sellNum,limitNum,validStart,exchangePrice,hiddenPrice,specialSale,vipPrice,priceType
p15952577,E10134341,博柏利,BURBERRY,BURBERRY博柏利太陽鏡 0BE4439F41118751,1247,4800.0,2.6,3553.0,,1,1,1,0,2026-07-31 00:00:00,1162.11,,False,0.0,3
p15876310,C115079,魅可,MAC,MAC魅可修容盤深色系【有效期至：2027年1月31日】,105,350.0,3.0,245.0,,5,5,2,0,2026-07-31 00:00:00,97.85,,False,0.0,3
p15867852,C114415,凱卓,KENZO,KENZO凱卓純淨之水冰靈女士淡香水限量版【有效期至：2027年1月31日】,200,665.0,3.0,465.0,,2,2,2,0,2026-07-31 00:00:00,186.39,,False,0.0,3
p15875889,C115073,魅可,MAC,MAC魅可面部彩妝盤【有效期至：2027年1月31日】,105,350.0,3.0,245.0,,1,1,4,0,2026-07-31 00:00:00,97.85,,False,0.0,3
p15868253,C114414,凱卓,KENZO,KENZO凱卓純淨之水冰靈男士淡香水限量版【有效期至：2027年1月31日】,200,665.0,3.0,465.0,,1,1,2,0,2026-07-31 00:00:00,186.39,,False,0.0,3
p15737102,C040404,湯姆福特,TOM FORD,TOM FORD 激情幻魅唇膏 【黑管啞光質地】3GM/.1OZ 07 RUBY RUSH【有效期至：2026年12月31日】,147,490.0,3.0,343.0,,3,3,14,0,2026-07-31 00:00:00,136.99,,False,0.0,3
p15833290,C106475,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅複顏保濕護膚套裝【有效期至：2027年2月】,162,540.0,3.0,378.0,,8,8,56,0,2026-07-31 00:00:00,150.97,,False,0.0,3
p15820476,C105646,嬌韻詩,CLARINS,CLARINS嬌韻詩男士柔滑剃須泡沫 150ml【有效期至：2027年1月】,75,250.0,3.0,175.0,,1,1,9,0,2026-07-31 00:00:00,69.89,,False,0.0,3
p15952288,E10356163,博柏利,BURBERRY,BURBERRY博柏利太陽鏡 0BE4440U41478751,1247,3980.0,3.1,2733.0,,1,1,,0,2026-07-31 00:00:00,1162.11,,False,0.0,3
p15858307,E1654916,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡20733040G65Z7,355,930.0,3.8,575.0,,1,1,,0,2026-07-31 00:00:00,330.83,,False,0.0,3
p15858304,E1654884,寶麗萊,Polaroid,POLAROID寶麗萊太陽鏡20731509Q55UC,355,930.0,3.8,575.0,,1,1,2,0,2026-07-31 00:00:00,330.83,,False,0.0,3
p15914830,F119400,濟公堂,濟公堂,濟公堂五鞭海狗丸(木盒) 300粒（有效期至：2028.10.31）,172,450.0,3.8,278.0,,9,9,11,0,2026-07-31 00:00:00,160.29,,False,0.0,3
p15894591,E1591911,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡206409DDB58WJ,236,590.0,4.0,354.0,,1,1,1,0,2026-07-31 00:00:00,219.93,,False,0.0,3
p15894589,E1678366,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡206330S4557KL,312,780.0,4.0,468.0,,1,1,,0,2026-07-31 00:00:00,290.76,,False,0.0,3
