product_id,activity_product_id,brand_id,brand,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15743579,504137637,31847,,BURBERRY博柏利之吻晶潤緞彩唇膏 3.3g,3016,2195,160,315,5.1,18,18,37,500022564,23,,
p15891087,504137638,31847,,Burberry 博柏利女神馥鬱香水50ML,3037,2352,590,1134,5.2,2,2,1,500022564,23,c85732853,
p15740184,504137639,31847,,BURBERRY博柏利紅粉戀歌女士淡香水 50mL/100mL,3037,2352,503,579,8.7,2,2,,500022564,23,,
p15828292,504137640,31847,,BURBERRY博柏利之吻液體絨霧啞光唇膏6ml,3016,2197,177,340,5.2,6,6,14,500022564,23,,
p15743675,504137641,31847,,BURBERRY博柏利先生英倫男士濃香水 50ml/100ml,3037,2351,517,626,8.3,2,2,4,500022564,23,,
p15890288,504137642,31847,,Burberry博柏利之吻倫敦臻霧啞光唇釉86  Darjeeling 6 ML,3016,2197,177,340,5.2,1,1,,500022564,23,c85731948,
p15890281,504137643,31847,,Burberry博柏利之吻絨霧啞光唇膏02 Cream Tea 6 ML,3016,2195,177,340,5.2,1,1,2,500022564,23,c85732351,
p15889829,504137644,31847,,"Burberry""博柏利高定香氛-沙漠玫瑰100ml",3037,2352,1014,1950,5.2,1,1,,500022564,23,c85732354,
p15889838,504137645,31847,,"Burberry""博柏利高定香氛-晨曦金霧100ml",3037,2352,1014,1950,5.2,1,1,,500022564,23,c85732366,
p15739929,504137646,31847,,BURBERRY  博柏利之吻啞光唇膏  3.3g,3016,2195,160,340,4.7,13,13,42,500022564,23,,
p15872385,504137647,31847,,BURBERRY博柏利卓越持妝遮瑕液8ml,3021,2220,149,315,4.7,3,3,9,500022564,23,,
p15890289,504137648,31847,,Burberry博柏利之吻絨霧啞光唇膏90  -6 ML,3016,2195,177,340,5.2,1,1,1,500022564,23,c85732365,
p15740984,504137649,31847,,BURBERRY博柏利倫敦女士濃香水  50mL/100mL,3037,2352,546,750,7.3,1,1,2,500022564,23,,
p15885153,504137650,31847,,Burberry博柏利英雄男士濃香精100ml,3037,2351,749,1440,5.2,1,1,1,500022564,23,c85725752,
p15885165,504137651,31847,,Burberry博柏利英雄男士濃香精50ml,3037,2351,718,1380,5.2,1,1,,500022564,23,c85725763,
p15915110,504137652,31847,,Burberry博柏利女士淡香水三件套禮盒套裝100ml+75ml+10ml,3037,1145,765,1700,4.5,1,1,2,500022564,23,c85759018,
