order_id,create_time,product_id,sku_id,brand_id,skuInfo,name,price,original_price,discount,quantity,activity_id,activity_type,activity_name,activityLabel,category
310353149686,2026-07-06 19:17:15,p15737930,C039977,14599,,HR赫蓮娜活顏修復舒緩面膜 50ML【有效期至：2027年1月】,959,3195,3.0,3,500022205,3.0,至抵價 不可用券,,3004
310344299686,2026-07-06 19:13:50,p15737930,C039977,14599,,HR赫蓮娜活顏修復舒緩面膜 50ML【有效期至：2027年1月】,959,3195,3.0,3,500022199,22.0,特惠清倉,臨期清倉,3004
310022339686,2026-07-04 15:19:43,p15737930,C039977,14599,,HR赫蓮娜活顏修復舒緩面膜 50ML【有效期至：2027年1月】,959,3195,3.0,1,500022199,22.0,特惠清倉,臨期清倉,3004
309925079686,2026-07-03 18:19:54,p15833785,C110060,31003,,KERASTASE卡詩頭皮系列根源特護洗護套裝【有效期至：2027年1月】,254,845,3.0,2,500022199,22.0,特惠清倉,臨期清倉,3004
309851099686,2026-07-02 23:45:37,p15871387,C115153,10123,,ESTEE LAUDER雅詩蘭黛特潤修護夜間煥能精華霜膜65ML,288,960,3.0,5,500022199,22.0,特惠清倉,臨期清倉,3004
309803209686,2026-07-02 16:48:13,p15871387,C115153,10123,,ESTEE LAUDER雅詩蘭黛特潤修護夜間煥能精華霜膜65ML,288,960,3.0,5,500022199,22.0,特惠清倉,臨期清倉,3004
296474399686,2026-05-02 13:15:44,p15864627,C111526,10131,規格:50ML,GIVENCHY紀梵希傾城花舞香水,333,1110,3.0,1,500021502,22.0,特惠清倉,臨期清倉,3008
296474399686,2026-05-02 13:15:44,p15737289,C044572,14721,,JO MALONE祖·瑪瓏香氛蠟燭(黑石榴香型),301,555,5.4,2,500021499,3.0,至抵價,,3008
296367569686,2026-05-01 16:17:25,p15743274,C054256,31847,容量:90mL,BURBERRY 博柏利我的博柏利花之緋女士濃香水 50mL/90ml,541,1540,3.5,2,500021502,22.0,特惠清倉,臨期清倉,3008
296365759686,2026-05-01 15:41:38,p15811357,C105104,31878,,BIOTHERM碧歐泉蜂蠟泡沫潔面乳 150ml【有效期至：2026年11月】,165,550,3.0,4,500021499,3.0,至抵價,,3004
292373779686,2026-03-31 21:13:33,p15872166,C113574,10169,,L'OCCITANE歐舒丹草本香菁純純淨洗髮露,176,320,5.5,4,500021086,,,,3004
292373779686,2026-03-31 21:13:33,p15823794,C106763,10169,,L'OCCITANE歐舒丹修護洗髮水-300ML,127,230,5.5,4,500021086,,,,3004
292373779686,2026-03-31 21:13:33,p15943648,698133774,10169,小样/赠品,【贈品】Loccitane__GWP25H2T1_ROW,0,9999,,1,0,,,,3005
292287749686,2026-03-31 07:10:04,p15736639,C053571,14721,,JO MALONE祖·瑪瓏牡丹胭紅麂絨車載香薰補充裝,182,310,5.9,1,500021085,1.0,3月女神節 非護膚閃購,,3008
292291429686,2026-03-31 00:38:25,p15741441,C030430,10123,,ESTEE LAUDER  雅詩蘭黛 Advanced Night Repair 密集修護肌透面膜 8 paCalvin Klein,694,1380,5.0,1,500020956,22.0,特惠清倉,臨期清倉,3004
