product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15884184,504208402.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'oreal歐萊雅複顏滋潤保濕護膚套裝50ml+50ml+15ml+30ml+100ml【有效期至：2027年5月】,3022,1100,472,845.0,5.6,26,26,80,500022954.0,3,c85725065,C111065
p15739607,504208399.0,12290,喬治阿瑪尼,GIORGIO ARMANI,GIORGIO ARMANI 阿瑪尼臻致絲絨啞光唇釉 214 6.5ml【有效期至：2027年4月】,3016,2197,212,380.0,5.6,14,14,19,500022954.0,3,c85552064,C057260
p15881995,504208394.0,31887,倩碧,CLINIQUE,Clinique美白祛斑精華露雙支裝 (100ml x 2)【有效期至：2027年4月】,3022,1096,1241,2475.0,5.0,12,12,39,500022954.0,3,c85723184,C116211
p15826124,504208400.0,20490,科顏氏,KIEHL'S,Kiehl's科顏氏柔潤防曬隔離乳-60ML-SPF50【有效期至：2027年4月】,3022,1092,320,575.0,5.6,21,21,50,500022954.0,3,c85650065,C107286
p15742143,504208406.0,13558,植村秀,SHU UEMURA,shu uemura植村秀如膠似漆眼線筆 墨黑0.08g【有效期至：2027年5月】,3038,2203,145,260.0,5.6,13,13,66,500022954.0,3,c85554946,C053783
p15737095,504208403.0,12469,湯姆福特,TOM FORD,TOM FORD湯姆福特柔霧緞采唇膏52 3g【細黑管】【有效期至：2027年5月】,3016,2195,249,490.0,5.1,23,23,37,500022954.0,3,c85549288,C100701
p15825221,504208293.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL 歐萊雅金致臻顏修護霜兩支裝50ml*2--抗皺緊致【有效期至：2027年5月】,3022,1093,302,505.0,6.0,3,3,100+,500022953.0,3,c85647730,C107407
p15833290,504208385.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅複顏保濕護膚套裝50ml+50ml+15ml【有效期至：2027年2月】,3022,1100,162,540.0,3.0,8,8,61,500022954.0,3,c85659746,C106475
p15952581,,31847,博柏利,BURBERRY,BURBERRY博柏利太陽鏡 0BE4411D38077357,3040,1214,2120,,,1,0,1,,0,c85797263,E1681823
p15857271,504208397.0,10162,蘭蔻,LANCOME,LANCOME蘭蔻黑金臻寵面霜 50ML【有效期至：2027年4月】,3022,1093,2480,4460.0,5.6,11,11,14,500022954.0,3,c85689593,C111725
p15952583,,31847,博柏利,BURBERRY,BURBERRY博柏利太陽鏡0BE4435F41478753,3040,1214,2120,,,1,0,2,,0,c85797264,E1831991
p15740572,504208404.0,14721,祖瑪瓏,JO MALONE LONDON,JO MALONE祖·瑪瓏香水(青檸羅勒與柑橘香型)100ml【有效期至：2027年5月】,3037,3204,664,1315.0,5.0,12,12,23,500022954.0,3,c85552563,C043364
p15839239,504208386.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅複顏水光充盈柔膚水三支裝200ml*3【有效期至：2027年2月】,3022,1090,93,310.0,3.0,2,2,29,500022954.0,3,c85665917,C107293
p15894591,,30964,寶麗萊,Polaroid,POLAROID寶麗來太陽鏡206409DDB58WJ,3040,1214,590,,,1,0,2,,0,c85737611,E1591911
p15794720,504208392.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL Paris歐萊雅多重防護隔離露 65ml【有效期至：2027年3月】,3022,1092,104,345.0,3.0,12,12,18,500022954.0,3,c85615216,C103298
p15849736,504208407.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅金致臻顏花蜜奢養化妝水-130ML【有效期至：2027年5月】,3022,1090,154,275.0,5.6,6,6,25,500022954.0,3,c85678783,C111450
p15880349,504208398.0,31878,碧歐泉,BIOTHERM,BIOTHERM 碧歐泉護膚精華面膜 6片【有效期至：2027年4月】,3022,1097,327,580.0,5.6,6,6,8,500022954.0,3,c85719852,C042340
p15801720,504208393.0,10197,悦木之源,ORIGINS,ORIGINS悅木之源韋博士菇菌亮膚精華乳 50ml【有效期至：2027年4月】,3022,1091,335,660.0,5.1,1,1,14,500022954.0,3,c85621953,C102713
p15793924,504207570.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL歐萊雅複顏玻尿酸眼霜 65ml,3039,2813,565,1130.0,5.0,41,41,64,500022953.0,3,c85613828,C103091
p15797611,504207652.0,13157,巴黎歐萊雅,L'OREAL PARIS,L'OREAL 歐萊雅青春活碼防護精華液套裝115ml*2,3022,1100,490,1225.0,4.0,1,1,49,500022953.0,3,c85617636,C104281
p15876310,504208384.0,10174,魅可,MAC,MAC魅可修容盤深色系【有效期至：2027年1月31日】,3013,1141,105,350.0,3.0,4,4,4,500022954.0,3,c85715534,C115079
