goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp
694cc2d5f52aff000112484c,20112542,4873810,雅诗兰黛,ESTÉE LAUDER,第五代小棕瓶熬夜眼霜双支装  紧致 淡化细纹黑眼圈,,美妆护肤-面部护肤-眼霜/眼部精华,584,882,882,450,,,9999,True,0,,
694cc2cd9cc20b00019beae7,20112572,4873656,雅诗兰黛,ESTÉE LAUDER,第五代小棕瓶熬夜眼霜  紧致 提拉 淡化黑眼圈,15ml,美妆护肤-面部护肤-眼霜/眼部精华,323,,323,258,,,9999,True,0,,
694cc3fdf52aff0001127862,20118684,4879597,雅诗兰黛,ESTÉE LAUDER,新特润修护抗皱紧塑眼霜  小棕微雕眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,615,679,679,488,,,9999,True,0,,
694cc3cff52aff00011270d4,20117750,4878679,雅诗兰黛,ESTÉE LAUDER,白金级蕴能黑钻光璨眼霜  白金6D黑钻眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,1094,,1094,875,788,买7件 低至￥788/件,9999,True,0,,
694cc2415b103b0001abdaf5,20109668,4870862,海蓝之谜,LA MER,浓缩修护眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,1248,1876,1876,980,882,买7件 低至￥882/件,9999,True,0,,
694cc2e156e4f1000101be96,20113121,4874025,莱珀妮,LA PRAIRIE,鱼子精华琼贵眼霜,20ml,美妆护肤-面部护肤-眼霜/眼部精华,1973,,1973,1400,,,9999,True,0,,
69f20299d9e7f2000102c2aa,20197805,5384365,海蓝之谜,LA MER,紧致焕颜精华眼霜 ,15 ml,美妆护肤-面部护肤-眼霜/眼部精华,1755,,1755,1567,1411,买4件 低至￥1411/件,9999,True,0,,
694cc3559cc20b00019c0079,20115257,4876326,馥蕾诗,FRESH,莲花青春焕采眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,265,390,390,265,,,9999,True,0,,
694cc2b49cc20b00019be60c,20111992,4873170,雅诗兰黛,ESTÉE LAUDER,智妍紧塑精华眼霜  抗皱紧致,15ml,美妆护肤-面部护肤-眼霜/眼部精华,394,588,588,320,,,9999,True,0,,
694cc3c49cc20b00019c129d,20117556,4878493,莱珀妮,LA PRAIRIE,鱼子精华眼部啫喱,15ml,美妆护肤-面部护肤-眼霜/眼部精华,711,,711,600,,,9999,True,0,,
694cc3f69cc20b00019c19a0,20118775,4879516,资生堂,SHISEIDO, 悦薇智感紧致抗皱眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,428,,428,428,,,9999,True,0,,
69f2029784016900015867ea,20197802,5384360,雅诗兰黛,ESTÉE LAUDER,白金级花菁萃紧致眼部精华霜双支装 ,15ml*2,美妆护肤-面部护肤-眼霜/眼部精华,1215,249.5,249.5,1215,1094,买5件 低至￥1094/件,9999,True,0,,
694cc2ef9cc20b00019bf020,20113263,4874353,黛珂,DECORTÉ,肌源修护眼部精华液 两支装 ,,美妆护肤-面部护肤-眼霜/眼部精华,464,,464,464,,,9999,True,0,,
694cc3e25b103b0001df3b65,20118076,4879064,娇韵诗,CLARINS,密集多维提拉眼霜,15ml,美妆护肤-面部护肤-眼霜/眼部精华,475,614,614,475,,,9999,True,0,,
