goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp
694cc25256e4f1000101a851,20109956,4871156,雅诗兰黛,ESTÉE LAUDER,第七代小棕瓶精华双支装 修护淡纹,100ml*2,美妆护肤-面部护肤-精华,2418,1359,1359,1199,1080,买6件 低至￥1080/件,9999,True,0,,
694cc2469cc20b00019bd0c9,20109958,4870997,雅诗兰黛,ESTÉE LAUDER,第七代小棕瓶精华 修护淡纹,100ml,美妆护肤-面部护肤-精华,1345,1344,1344,699,,,9999,True,0,,
694cc27f5b103b0001abe4e0,20110851,4872124,伊丽莎白雅顿,Elizabeth Arden,180粒【二代粉胶】次抛A醇精华套组,42ml*2 约180粒,美妆护肤-面部护肤-精华,1025,1375,1375,765,689,买8件 低至￥689/件,9999,True,0,,
694cc2539cc20b00019bd310,20109957,4871190,雅诗兰黛,ESTÉE LAUDER,第七代小棕瓶精华 修护淡纹,50ml,美妆护肤-面部护肤-精华,473,840,840,450,,,9999,True,0,,
694cc37656e4f1000101db1f,20115926,4876895,娇韵诗,CLARINS,双萃焕活修护精华,100ml,美妆护肤-面部护肤-精华,1500,,1500,898,,,9999,True,0,,
694cc3889cc20b00019c08df,20116173,4877316,娇韵诗,CLARINS,双萃焕活修护精华,50ml,美妆护肤-面部护肤-精华,855,900,900,855,,,9999,True,0,,
694cc1f15b103b0001abcdb2,20108092,4869286,伊丽莎白雅顿,Elizabeth Arden,金胶精华油次抛胶囊维稳精华神经酰胺套组 约180粒,14ml*6,美妆护肤-面部护肤-精华,854,1275,1275,683,,,9999,True,0,,
694cc245f52aff0001123183,20109777,4870963,馥蕾诗,FRESH,玫瑰润泽密集保湿双萃精华,100ml,美妆护肤-面部护肤-精华,350,468,468,245,,,9999,True,0,,
694cc3dc5b103b0001df3a78,20118066,4879002,娇韵诗,CLARINS,透亮焕白淡斑匀净专研精华,50ml,美妆护肤-面部护肤-精华,885,856,856,885,797,买7件 低至￥797/件,9999,True,0,,
694cc3ebf52aff0001127570,20118312,4879249,莱珀妮,LA PRAIRIE,鱼子精华琼贵新升紧颜液3.0,50ml,美妆护肤-面部护肤-精华,3345,,3345,2400,,,9999,True,0,,
694cc3c65b103b0001df35b8,20117736,4878504,倩碧,CLINIQUE,【302光子镭射瓶】美白祛斑精华露双支装套装,100ml*2,美妆护肤-面部护肤-精华,2238,2237,2237,1158,1043,买6件 低至￥1043/件,9999,True,0,,
694cc39e9cc20b00019c0c2d,20116589,4877731,伊丽莎白雅顿,Elizabeth Arden,90粒【二代粉胶】时空焕活淡纹紧致胶囊精华液 ,42ml,美妆护肤-面部护肤-精华,578,763,763,432,,,9999,True,0,,
694cc3d29cc20b00019c146a,20118069,4878767,娇韵诗,CLARINS,双萃焕活修护精华-轻盈版,50ml,美妆护肤-面部护肤-精华,900,855,855,900,,,9999,True,0,,
694cc3c8f52aff0001126fa6,20117554,4878530,资生堂,SHISEIDO,红妍肌活精华露,100ml,美妆护肤-面部护肤-精华,764,1228,1228,659,,,9999,True,0,,
694cc29f56e4f1000101b6e4,20111483,4872708,黛珂,DECORTÉ,肌源修护精华液双支装,100ml*2,美妆护肤-面部护肤-精华,1790,1793,1793,1790,1611,买4件 低至￥1611/件,9999,True,0,,
694cc31d56e4f1000101c9f1,20114263,4875222,海蓝之谜,LA MER,焕活精华油,30ml,美妆护肤-面部护肤-精华,1510,2258,2258,1359,1224,买5件 低至￥1224/件,9999,True,0,,
694cc2ae56e4f1000101b887,20111982,4873024,雅诗兰黛,ESTÉE LAUDER,白金级蕴能黑钻光璨肌活精华液 黑钻松露精华 ,30ml,美妆护肤-面部护肤-精华,1247,,1247,1040,936,买6件 低至￥936/件,9999,True,0,,
694cc35df52aff0001125d3a,20115560,4876412,海蓝之谜,LA MER,焕活保湿喷雾,100ml,美妆护肤-面部护肤-精华,570,690,690,570,,,9999,True,0,,
